order,config_id,model,family,dataset,task,metric,n_runs,mean,std,min,max
5,embedding_gte,GTE,frozen_embedding,amazon_google,ranking,ndcg_at_100,1,0.9193597201669997,,0.9193597201669997,0.9193597201669997
5,embedding_gte,GTE,frozen_embedding,link_lives_release2,classification,f1,1,0.7341927562922038,,0.7341927562922038,0.7341927562922038
5,embedding_gte,GTE,frozen_embedding,link_lives_release2,ranking,hits_at_1,1,0.6285894603976018,,0.6285894603976018,0.6285894603976018
5,embedding_gte,GTE,frozen_embedding,link_lives_release2,ranking,hits_at_100,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,link_lives_release2,ranking,hits_at_100_end_to_end,1,0.9750769230769231,,0.9750769230769231,0.9750769230769231
5,embedding_gte,GTE,frozen_embedding,link_lives_release2,ranking,mrr_at_100,1,0.7228716793910138,,0.7228716793910138,0.7228716793910138
5,embedding_gte,GTE,frozen_embedding,link_lives_release2,ranking,ndcg_at_100,1,0.7836525236654966,,0.7836525236654966,0.7836525236654966
5,embedding_gte,GTE,frozen_embedding,walmart_amazon,classification,f1,1,0.4986449864498645,,0.4986449864498645,0.4986449864498645
5,embedding_gte,GTE,frozen_embedding,walmart_amazon,ranking,hits_at_1,1,0.8549618320610687,,0.8549618320610687,0.8549618320610687
5,embedding_gte,GTE,frozen_embedding,walmart_amazon,ranking,hits_at_100,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,walmart_amazon,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,walmart_amazon,ranking,mrr_at_100,1,0.9150127226463104,,0.9150127226463104,0.9150127226463104
5,embedding_gte,GTE,frozen_embedding,walmart_amazon,ranking,ndcg_at_100,1,0.9339357927995758,,0.9339357927995758,0.9339357927995758
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_seen,classification,f1,1,0.35862735621072983,,0.35862735621072983,0.35862735621072983
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_1,1,0.36088709677419356,,0.36088709677419356,0.36088709677419356
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100_end_to_end,1,0.992,,0.992,0.992
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_seen,ranking,mrr_at_100,1,0.5333424733933323,,0.5333424733933323,0.5333424733933323
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_seen,ranking,ndcg_at_100,1,0.6408938125092308,,0.6408938125092308,0.6408938125092308
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_unseen,classification,f1,1,0.4125514403292181,,0.4125514403292181,0.4125514403292181
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_1,1,0.47695390781563124,,0.47695390781563124,0.47695390781563124
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100_end_to_end,1,0.998,,0.998,0.998
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_unseen,ranking,mrr_at_100,1,0.6342629373445894,,0.6342629373445894,0.6342629373445894
5,embedding_gte,GTE,frozen_embedding,wdc_80_medium_unseen,ranking,ndcg_at_100,1,0.7205360990856092,,0.7205360990856092,0.7205360990856092
6,embedding_roberta,RoBERTa embedding,frozen_embedding,abt_buy,classification,f1,1,0.41681901279707495,,0.41681901279707495,0.41681901279707495
6,embedding_roberta,RoBERTa embedding,frozen_embedding,abt_buy,ranking,hits_at_1,1,0.6883116883116883,,0.6883116883116883,0.6883116883116883
6,embedding_roberta,RoBERTa embedding,frozen_embedding,abt_buy,ranking,hits_at_100,1,1.0,,1.0,1.0
6,embedding_roberta,RoBERTa embedding,frozen_embedding,abt_buy,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
6,embedding_roberta,RoBERTa embedding,frozen_embedding,abt_buy,ranking,mrr_at_100,1,0.7849910487611023,,0.7849910487611023,0.7849910487611023
6,embedding_roberta,RoBERTa embedding,frozen_embedding,abt_buy,ranking,ndcg_at_100,1,0.8347457461506123,,0.8347457461506123,0.8347457461506123
6,embedding_roberta,RoBERTa embedding,frozen_embedding,amazon_google,classification,f1,1,0.44635193133047213,,0.44635193133047213,0.44635193133047213
6,embedding_roberta,RoBERTa embedding,frozen_embedding,amazon_google,ranking,hits_at_1,1,0.7177914110429447,,0.7177914110429447,0.7177914110429447
6,embedding_roberta,RoBERTa embedding,frozen_embedding,amazon_google,ranking,hits_at_100,1,1.0,,1.0,1.0
6,embedding_roberta,RoBERTa embedding,frozen_embedding,amazon_google,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
6,embedding_roberta,RoBERTa embedding,frozen_embedding,amazon_google,ranking,mrr_at_100,1,0.8106694611759998,,0.8106694611759998,0.8106694611759998
6,embedding_roberta,RoBERTa embedding,frozen_embedding,amazon_google,ranking,ndcg_at_100,1,0.8508433370441116,,0.8508433370441116,0.8508433370441116
6,embedding_roberta,RoBERTa embedding,frozen_embedding,link_lives_release2,classification,f1,1,0.4324460070316424,,0.4324460070316424,0.4324460070316424
6,embedding_roberta,RoBERTa embedding,frozen_embedding,link_lives_release2,ranking,hits_at_1,1,0.3604060913705584,,0.3604060913705584,0.3604060913705584
6,embedding_roberta,RoBERTa embedding,frozen_embedding,link_lives_release2,ranking,hits_at_100,1,1.0,,1.0,1.0
