order,config_id,model,family,dataset,task,seed,metric,value,source
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,mrr_at_100,0.5210359810575946,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_unseen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,ndcg_at_100,0.6290420092758576,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_unseen/metrics.json
4,embedding_bge,BGE,frozen_embedding,abt_buy,classification,deterministic,f1,0.4963855421686747,exp03_full_matrix_finalize_20260819/inventory/exp01_final/abt_buy/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/metrics.json
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,deterministic,hits_at_1,0.8181818181818182,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/BAAI__bge-base-en-v1.5/abt_buy/metrics.json
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/BAAI__bge-base-en-v1.5/abt_buy/metrics.json
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/BAAI__bge-base-en-v1.5/abt_buy/metrics.json
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,deterministic,mrr_at_100,0.8877836809654991,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/BAAI__bge-base-en-v1.5/abt_buy/metrics.json
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,deterministic,ndcg_at_100,0.9146447839943735,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/BAAI__bge-base-en-v1.5/abt_buy/metrics.json
4,embedding_bge,BGE,frozen_embedding,amazon_google,classification,deterministic,f1,0.5078740157480315,exp03_full_matrix_finalize_20260819/inventory/exp01_final/amazon_google/BAAI__bge-base-en-v1.5/a5beb1e3e68b9ab74eb54cfd186867f64f240e1a/metrics.json
4,embedding_bge,BGE,frozen_embedding,amazon_google,ranking,deterministic,hits_at_1,0.8343558282208589,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/BAAI__bge-base-en-v1.5/amazon_google/metrics.json
